R,C,numcourse,jour,hippo,cl,dist,partant,typec,numero,cheque,cheval,sexe,age,cotedirect,coteprob,recence,ecurie,distpoids,ecar,redkm,corde,defoeil,defoeilPrec,recul,gains,musiquept,musiqueche,m1,m2,m3,m4,m5,m6,jockey,musiquejoc,montesdujockeyjour,couruejockeyjour,victoirejockeyjour,entraineur,musiqueent,monteentraineurjour,courueentraineurjour,victoireentraineurjour,coursescheval,victoirescheval,placescheval,coursesentraineur,victoiresentraineur,placeentraineur,coursesjockey,victoiresjockey,placejockey,dernierhippo,dernierealloc,derniernbpartants,dernieredist,derniereplace,dernierecote,dernierJoc,dernierEnt,dernierProp,dernierRedKm,proprietaire,nbcoursepropjour,poidmont,pourcVictJock,pourcPlaceJock,pourcVictEntHippo,pourcPlaceEntHippo,pourcVictJockHippo,pourcPlaceJockHippo,pourcVictChevalHippo,pourcPlaceChevalHippo,nbrCourseJockHippo,nbrCourseEntHippo,nbrCourseChevalHippo,pere,mere,peremere,tempstot,vha,recordG,txreclam,dernierTxreclam,gainsCarriere,gainsVictoires,gainsPlace,gainsAnneeEnCours,gainsAnneePrecedente,jumentPleine,indicateurInedit,handicapDistance,handicapPoids,nbCourseCouple,TxVictCouple,TxPlaceCouple,nbVictCouple,nbPlaceCouple,nbCourseCoupleHippo,TxVictCoupleHippo,TxPlaceCoupleHippo,nbVictCoupleHippo,nbPlaceCoupleHippo,appetTerrain,idChe,idJockey,idEntraineur,defFirstTime,oeilFirstTime,estSupplemente,oeil,devise,id,createdAt,updatedAt
4,4,1327801,2021-12-22,Cabourg,,2750,15,Attelé,1,28000,Eh Coquine,F,7,13,0,67,A,null,,,0,DF,DF,0,63280,Da Da 8a Da 3a 7a 10a 4a,Da Da 8a Da 3a 7a 10a 4a 9a 6a Da 12a 11a (20) 7a 11a Da Da 9a 8a 10a Da 10a Da 3a Dm 11a Da 8a Da (19) Da 5a Da Da 1a 2a 9a Da 4a 3a Da Da 8a Da 1a Da 11a Da Da Da 9a (18) 9a Da Da 5a 4a 2a 1a 3a 2a 1a Da (17) 5a 10a Dm (16) Dm ,10,10,8,10,3,7,F. Lecanu,2a Da 4a 3a 7a 12a Da Da Da 2a Da 9a 10a 5a 5a 11a 3a 6DIa 9a 10a 7a Da 4a 1a 7a 1a 8a 13a Da 8a 9a 7a 5a 8a 9a 5a 8a 4a Da 5a 8a 5a 10a Da 10a 5a Da 2DIa 5a 6a 3a 2a 8a 11a 4a Da 5a 7a 12a 9a 10a 11a 5a 3a 10a 8a Da 4a Da Da Da Da Da 5a 6a 4a 12a 2a Da 8a 4a 2a 2a 1a 8a 7a 3a Da 9a 8a Da 3a 1a 8DIa Da 5a 5a 9a Da 4a ,4,0,0,S. Leblond,4a Da Da 10a 7a Da 12a 5a 3a 11a 10a 3a 9a 3a 6a 6a 2a 3a 4a 2a Da 2a 9a Da 10a 11a Da 14a 10a Da Da Da 7a 8a Da 9a Da 8a 8a 9a Da 6a 10a 4a Da Da 6a 8a 8a 2a 3a Da 5a 7a 1a Da 1a 2a Da 8a Da Dm 4a 4a 8a 3a 9a 5a Da 6a 9a 6a 9a 4a Da 4a Da 8a Da 6a 3a 8a 6a 2a 6a 5a 8m 9a Da 10a 7a Da Da 2a Da Da 7a 8a Da 1a ,4,0,0,65,4,11,209,10,45,883,57,203,Cabourg,25000,16,2750,DAI,19,F. Lecanu,S. Leblond,Ecurie de la Frenaie,,Ecurie de la Frenaie,4,,6,23,2.33,20.93,4.87,22.38,0,20,554,86,10,SURCOUF DE LAUBOIS,UNE COQUINE,,,,"1'13""8",0,0,6328000,3060000,3268000,515000,270000,0,0,2750,-1,33,6.06,18.18,2,6,7,0,28.57,0,2,1,1246370,99011,87035,0,0,0,,EUR,13278011,2021-12-22T06:52:48.000Z,2021-12-22T06:52:31.000Z
4,4,1327801,2021-12-22,Cabourg,,2750,15,Attelé,2,28000,Elite des Rioults,F,7,0,0,17,,null,,,0,PF,FF,0,78850,5a Da 7a Da 9a 10a 3a 7a,Da 7a Da 9a 10a 3a 7a 9a 10a 9a 3a 7a Da 3a 9a 7a (20) 1a 2a 1a Da Da 6a 4a 4a Da 5a 3a 2a Da 9a 5a 10a 8a (19) 6a 10a 9a Da 10a 1a 7a Da Da 5a 10a 6a 3a 6a 8a 8a (18) 6a 5a 8a 2a 5a 6a 3a 4a 9a 7a 4a 7a Da 3a 8a 2a 4a 4a (17) 2a 3a 9a 5a 5a 10a Da ,10,7,10,9,10,3,A. Marie,Da Da 6a 3a 13a 9a 6a 8a 4a 5a 3a Da 7a 7a 2a 4a 8a 3a 1a 9a 4a 8a 9a 1a 9a 2a 10a 7a 5a Da 9a Da 5a 8a 7a 2a 2a 7a 3a 2a 6a 7a 8a 8a 9a 5a 3a 10a 7a 8a Da 8a Da 2a 5a 9a 9a 1a Da 7a Ta Da 3a 9a 9a 4a 7a 9a 5a 9a 4a 2a Da Da 3a Da 3a Da 7a Da 7a 3a 3a 2a 7a 1a 2a 5a 3a 5Da Da Da 2a 3a 9a Da 5a 6a 9a 2a ,1,0,0,A. Marie,Da Da 9a 11a 7a 8a Da 7a 7a 2a 4a 3a 1a 9a 9a Da 1a 9a 10a 10a 3a 5a 9a 5a 2a 3a 7a 4a 7a 8a 9a 1a 10a 8a Da Da 2a 9a 1a 7a Ta Da 3a 9a 7a 9a 5a Da 6a 3a Da 7a 3a 7a 9a 1a Da 2a 3a 5Da 4a 3a 9a 5a 6a 10a 2a 1a 6a 3a 7a 6a ,1,0,0,75,3,16,74,6,20,110,4,28,Vire,22000,18,2825,,0,A. Marie,A. Marie,A. Marie,,A. Marie,1,,4,25,6.67,13.33,3.03,12.12,8.33,16.67,33,15,12,KAISER SOZE,LEA CASTELETS,,,,"1'14""8",0,0,7885000,2070000,5815000,790000,2659000,0,0,2750,-1,59,1.69,18.64,1,11,10,0,10,0,1,1,1264216,125980,125980,0,0,0,,EUR,13278012,2021-12-22T06:52:48.000Z,2021-12-22T06:52:32.000Z
4,4,1327801,2021-12-22,Cabourg,,2750,15,Attelé,3,28000,Eoulie du Bourg,F,7,5.6,0,17,,null,,,0,PF,FF,0,80390,3a 5a 5a 3a 3a 5a 8a 4a ,5a 5a 3a 3a 5a 8a 4a 6a 1a 6a 9a Da 6a 8a Da Da 1a 12a (20) 5a 2a 3a Da 5a 2a Da 2a 6a 6a 7a 4a 11a 6a 11a (19) 9a 11a 4a 6a 9a 5a 9a 8a 9a 8a 6a 7a 2a (18) 11a 4a 1a Da Da 5a 1a 4a 6a Da Da Da Da 8a (17) 1a 1a 4a 5a 8a 9a ,5,5,3,3,5,8,AG. Maillard,2a 4a 7a 2a 10a 11a 8a 4a 2a 3a 10a Da 1a 3a 2a 2a 1a Da 8a 7a 10a Da 11a 6a 2a 9a 8a 7a 5a 5a Da Da 10a 6a 2a 2a 11a 11a 5a Da 8a 8a 3a 7a 3a Da Da Da 2a 9a 3a 1a 8a Da 7a Da 4a 5a Da 3a 1a 1a 7a Da Da Da Da 11a Da 3a Da 1a 10a 2a Da 3a Da 9a 2a 5a 5a 2a Da 6a 4a 4a 5a 5a 8a 6a 3a 1a 5a Da 1a 3a 9a 6a 1a 3a ,4,0,0,M. Lebrec,6a 8a 10a 5a Da 9a Da 2a 1a 7a 5a 9a 5a Da 12a 9a 3a 7a 1a 3a 5a Da 12a 3a Da 4a 5a Da 10a 6a 2a 4a 5a 1a 8a 5a 4a 15a 7a 7a 4a 2a 4a 3a Da 6a 2a 10a 4a 1a 5a 5a Da 8a 6a 3a 9a 5a 1a 1a 10a 9a 3a Da 9a 10a 1a 11a 3a 1a 8a 6a 5a 8a 3a Da Da Da 6a 6a 2a Da 6a 7a 7m 8a 2a Da 10a Da 2a 1a Da Da 14a 3a 13a 8a Da Da ,2,0,0,70,6,13,126,10,28,242,23,65,Vire,5000,16,2850,,0,Mlle J. Lemonnier,M. Lebrec,Mlle J. Lemonnier,,Mlle J. Lemonnier,1,,10,27,12.5,25,2.63,15.79,37.5,50,114,8,8,PARIS HAUFOR,UNILOVE DU BOURG,,,,"1'13""6",0,0,8039000,4635000,3404000,1842000,1443000,0,0,2750,-1,0,0,0,0,0,0,0,0,0,0,1,1238670,88199,133243,0,0,0,,EUR,13278013,2021-12-22T06:52:48.000Z,2021-12-22T06:52:33.000Z
4,4,1327801,2021-12-22,Cabourg,,2750,15,Attelé,4,28000,Fadette d'Aurcy,F,6,29,0,10,,null,,,0,DD,DD,0,84130,3a 5a 2a 10a 4a 6a 6a 8a,3a 5a 2a 10a 4a 6a 6a 8a 8a 2a 11a 5a 11a 9a 4a 7a 8m (20) 8a 4a 6m 7m 3a 12a 5a 2a 3a 6a 2a 7m 2a 6a 4m 5m (19) 5a 4m 5a 10a 9a 5m 2m 5a 3a 8a (18) 7a 6a 2a 1a 5a (17) 3a 2a 3a ,3,5,2,10,4,6,PY. Verva,3m Da 3a 1a 9a Da 8a 1a Dm 3a 1a 8m 8a Dm 7m 3a Dm 6m 4m 12a 3a 7a Da 11a 11a 3a Da Dm Da 8m 5a 8m 10a 2a Da 14a Dm 8a 4a Da Da 5a 11a 6m 6a 8a 3a 4a 2a 5a 13a Dm 13a 1m 5a 6a 2a 2a 13a 1a Da 2a Da 3a 5a Da 9a 1a Da Dm 9a 12m 8m 7m 9a Da 2a 9a 9a Da 1a Da 1a 7a 8a 11a 12a 10a 3a 7m Da 11m 13a 2a Da 3a 2a 2a 2a 8a ,5,0,0,H. Habart,3a 2m 5a 2a Da 10a 4a Da 6a 7a 6a 8a Da 8a Da 8a Da Da Da 5a Da Da 6a 6a Da 2a Da Da 9a Da 11a Da 7a Da Da 5a 11a Da Da 9a Da Da 9a Da Dm 12a 4a 6a 7a Da 8a 7a 8m (20) Da ,1,0,0,52,1,15,58,0,4,956,82,276,Lyon-Parilly,15000,13,2000,3,0,D. Békaert,H. Habart,L. Bejeau,"1'15""7",L. Bejeau,1,,9,29,3.33,16.67,4.05,18.92,0,14.29,148,30,7,URIEL SPEED,TEQUILA ROSE,,,,"1'12""5",0,0,8413000,585000,7828000,1728000,3159000,0,0,2750,-1,2,0,0,0,0,0,0,0,0,0,1,1274704,66418,56269,0,0,0,,EUR,13278014,2021-12-22T06:52:48.000Z,2021-12-22T06:52:33.000Z
4,4,1327801,2021-12-22,Cabourg,,2750,15,Attelé,5,28000,Evita Turgot,F,7,9.2,0,59,,null,,,0,PD,DD,0,87020,7a Da 7a 3a 7a 4a 3a 10a,7a Da 7a 3a 7a 4a 3a 10a (20) 6a 7a 9a 9a 9a Da 1a 3a 2a 3a (19) Da 7a 7a 1a 4a 1a 6a 3a 2a 1a 5a 7a 3a 10a 4a 7m Da 4a 6a 4a (18) Da 6m Da 1a 8a 5a 8a 11a 3a Da 1a Da 2a 1a 6a 7a ,7,10,7,3,7,4,G. Donio,10a 8a Da 3a Da 10a 7a 8a 9a 4a 8a 5a 13a 8a 10a 4a 7a 8a Da 5a 4a 13a 5a 10a 5a 11a Da 8a 9a 3a 7a Da 6a Da 5a 13a 1a 4a 7a 6a 7a 8a 2a Da Da Da 8a Da 4a 6a 9a 6a Da Da 12a 4a Da 6a 5a 2a 4a 3a Da Da 2a 8a Da 8a Da 7a 5a Da 2a Da 11a 3a Da Da 6a 4a 5a 6a 6a 4a 2a 10a 5a 7a 5a 7a 11a 6a 5a 3a 3a 10a 9a Da 1a 6a ,1,0,0,M. Donio,10a 9a 8a Da 5m Da 1a 10a 7a 8a Da 9a 4a 8a 13a 8a 8a 7a 10a 10a 4a 7a 8a 2m Da 4a 9a 6a 7a 4a 5a Dm 7a Dm 10a 6a 1m 5a 1a 5a 9a 11a Da 8a 3a 11a 7a 9a Da 6a 3a 5a 13a 8a 5a 4a 7a 7a 7a 4a 3a Da Da Da Da 5a Dm 8a Da 4a 6a 9a 1a Da 8a 5m 12a 4a Da 3a 6a 6a 6a 5a 3a 4a 3a Da Da Da 3a 2a 8a Dm 10a 8a 7a 6a Da 7a ,1,0,0,54,7,17,339,16,67,255,7,43,Machecoul,16000,16,2700,7,0,G. Donio,M. Donio,Mme T. Hoste,"1'17""1",Mme T. Hoste,3,,3,17,0,20,0,28.57,0,0,28,35,1,QWERTY,NECTARINE TURGOT,,,,"1'14""0",0,0,8702000,4635000,4067000,753000,1992000,0,0,2750,-1,48,14.58,33.33,7,16,1,0,0,0,0,1,1274541,113986,49526,0,0,0,,EUR,13278015,2021-12-22T06:52:48.000Z,2021-12-22T06:52:34.000Z
4,4,1327801,2021-12-22,Cabourg,,2750,15,Attelé,6,28000,Frimeuse d'Azur,F,6,19,0,16,,null,,,0,PP,DD,0,91790,Da 8a 5a 10a Dm Da 2a 8a,8a 5a 10a Dm Da 2a 8a Dm 2a 3a (20) 4m 2m Da 2a 1a 1m Da 5a 5a 1a 1a (19) 1a 4a 5a Da 1a 5a 3a 1a 4m 6m (18) 2a 4a ,8,5,10,10,10,2,J. Lehericey,1a Da Da Da 1a 6a 3a 4a 3a 3a 6a 9a 2a 5a 5a 3a 1a 2a 1a 3a 5a 7a 1a Da 4a 1a 2a 2a Da 1a 10a 3a 2a 3a 6a 2a Da 4a 7a 9a 3a 6DIa 4a 5a 6a 8a 3a Da 12a 5a 4a Da Da 1a 7a 8a 6a 2a 2a 6a 2a 2a 5a Da Da Da Da Da 6a 1a 5a 2a Da 6a 5a 2a 3a 1a 5a Da 2a 2a 6a Da Da 8a ,1,0,0,JP. Marmion,2m 1a 5a 1a 2a Da 1a Dm Da Da 3m 4a 1a 6m 2a 1a Da 6a 5m 6a 4a 4a 3a 1a 3a 4a 3a 1a 8a 9a 11a 14a 5a Da Dm 8a Da 2a 1a 4a 2a 9a 5a 2a 8a 3a 2m 3a 5a 3a 3a Dm 1a 2a 6a 2a 1a 2a 4a 4a 1a 4a 2a 3a 7a 3a 1a 6a 3a 1a 9a 3a 4a 5a 3a Dm 1a Dm 2a 7a 2a Dm 1a Da 4a 1m 1a 9a Da Da 8a 2a Da 2a Da 4a 2a 1a 3m 3a ,1,0,0,34,7,14,540,97,231,89,10,34,Nantes,15000,16,3000,,0,A. Wiels,JP. Marmion,Ecurie Jean-Paul Marmion,,Ecurie Jean-Paul Marmion,1,,11,38,13.24,42.65,7.41,25.93,0,0,27,68,0,CYGNUS D'ODYSSEE,ODYSSEE D'AZUR,,,,"1'14""0",0,0,9179000,4860000,4319000,1640000,4506000,0,0,2750,-1,1,0,0,0,0,0,0,0,0,0,1,1340979,100372,9894,0,0,0,,EUR,13278016,2021-12-22T06:52:48.000Z,2021-12-22T06:52:37.000Z
4,4,1327801,2021-12-22,Cabourg,,2750,15,Attelé,7,28000,Ella du Palais,F,7,25,0,17,,null,,,0,DD,PP,0,92080,9a 14m 5a 9a Da 7a 4a 6a,14m 5a 9a Da 7a 4a 6a 3a 10a 5a 4a Da 11a 6a Da 6a 4a 10a 6a 8a (20) 11a 9a 1a 4a 3a 1a 4a 3a 10a 1a 3a 8a 6a (19) 6a 10a 3a 13a 2a 11a 5a 3a 9a Da 1a 6a 6a Da 4a 10a 5a 2a 1a 12a 12a (18) 1a 5a 5a Dm 6a 7a 1a 10a 5a 12a Da Da Da Da 5a Da 2a 3a 8a (17) 7a 8a 4a 2a 4a 8a 7a Da ,14,5,9,10,7,4,C. Heslouin,14a 4a 14a 1a 2a 6a 8a 9a 8a Da 6a 1a 3a 2a Da 3a 4a Da 14a 1Da Da 15a 4a Da 5a 5a Da 6a 6a 2a 2a 8a 8a 1a 3a Da 4a Da 5a Da Da Da 6a 4a 13a Da 3a 10a 2a 3a 2a 9a Da 2a 3a 1a 9a 2a 8a 3a 2a Da 4a 3a Da 1a 4a Da 1a Da 2a 4a Da 9a Da 9a 5a 4a Da 4a 8a 1a 5a 3a 7a Da 10a 7a 6a 5a 5a 10a 4a 1a Da Da Da 3a 2a 3a ,1,0,0,C. Heslouin,1m 4a Da Da Da 5a Da 14a 1a Da 2a 6a 8a 14a 4m Da 6a 10a 1a 3a 2a 6a 4a Da 1Da Da 15a Da 4a Dm Da 5a 5a Da 2m 9a 11a 6a 6a 10m 2a 2a 8a 8a 1a 9a 3a Da 2m Da Dm 4a 1m 6a 2Dm Da 5a Da Da 6a Da 4a 13a Da 10a 2a 3a 2a 3m 1a 9a Da 2a 3a 3a 3a 1a 5a 9a 8a 5a 8a 3a 2a 9m 4m 2a Da 4a 1m 1m 3a Da 5m 1a 4a 5a Da 1a Da ,2,0,0,83,7,18,151,15,48,109,9,31,Vire,22000,18,2825,,0,C. Heslouin,C. Heslouin,Mlle C. Callico,,Mlle C. Callico,1,,8,28,0,17.65,3.13,18.75,0,0,32,17,2,NIKY,OSEE DE BREVOL,,,,"1'15""5",0,0,9208000,4545000,4663000,997000,3163000,0,0,2750,-1,1,0,0,0,0,0,0,0,0,0,1,1271102,140075,140075,1,0,0,,EUR,13278017,2021-12-22T06:52:48.000Z,2021-12-22T06:52:37.000Z
4,4,1327801,2021-12-22,Cabourg,,2750,15,Attelé,8,28000,Fleur de Larré,F,6,16,0,43,A,null,,,0,DD,DD,0,95470,3a 0a 10a 10a 8a 7a Da 9,3a 10a 10a 8a 7a Da 9a Da 11a 2DPa Da 2a 9a 9a (20) 7a 5a 3a 16a 7m 9a 5a Da 3a Da 7a 6a 9a 9a 5a 9a (19) 3a 4a 5a 8a 5a 5a 4a 9a 4a Da 3a 1a 1a Da (18) 10a 3a 2a 5a 4a Da 9a 5a Da 5a 4a Da 3a 2a 7a 10a Da Da ,3,10,10,8,7,10,JL. Dersoir,Da 8a 8a 10a Da 6m 1a 4a 2a 2m 3a 3a Dm 6m 9a 1a Da 11a 8m 11a 1m 9a 2a 4a 5a 3a 6m 5m 6a Da 6a 5a 1a Da 2m 5m 1m 2a 3a 9a 7a 5a 3a 3a 4a 1m 9a 9a Da 5m 8a 8a 3a Da 4a 3a 3a 7a Da 1a 6m Da 2a 3DIm 8a 2a 5m 4a 3m 9m 3a 7a 6m Da 3m 9a 1a 11a 3a 2a Da Da Dm 6a 2m 4a 6a 2a 6a 3a 7a 8a 4m 2a 5a 4a Da 5a Dm 3a ,3,0,0,S. Leblond,4a Da Da 10a 7a Da 12a 5a 3a 11a 10a 3a 9a 3a 6a 6a 2a 3a 4a 2a Da 2a 9a Da 10a 11a Da 14a 10a Da Da Da 7a 8a Da 9a Da 8a 8a 9a Da 6a 10a 4a Da Da 6a 8a 8a 2a 3a Da 5a 7a 1a Da 1a 2a Da 8a Da Dm 4a 4a 8a 3a 9a 5a Da 6a 9a 6a 9a 4a Da 4a Da 8a Da 6a 3a 8a 6a 2a 6a 5a 8m 9a Da 10a 7a Da Da 2a Da Da 7a 8a Da 1a ,4,0,0,63,2,12,209,10,45,302,27,83,Chartres,17000,16,2800,3,20,F. Lecanu,S. Leblond,Ecurie de la Frenaie,"1'15""3",Ecurie de la Frenaie,4,,9,27,2.33,20.93,6.19,18.14,0,0,226,86,5,NIKY,PERSANE DE GRUGY,,,,"1'12""4",0,0,9547000,2970000,6577000,841000,1447000,0,0,2750,-1,1,0,0,0,0,0,0,0,0,0,1,1314558,51288,87035,0,0,0,,EUR,13278018,2021-12-22T06:52:48.000Z,2021-12-22T06:52:38.000Z
4,4,1327801,2021-12-22,Cabourg,,2750,15,Attelé,9,28000,Emotion Bleue,F,7,17,0,52,,null,,,0,DD,DD,0,95480,2a 4a 6a 8a 2a Da Da 4a ,2a 4a 6a 8a 2a Da Da 4a 4a 3a Da 3a Da 12a Da 6a 2a 9a Da (20) 6a 5a 1a 12a 6a 8a 7a 3a 12a 8a 3a 9a (19) 1DIa 6a Da 2a 2a Da 1a Da 2a 4a 4a 4a Da 5a Da Da 2a (18) Da Da 9a 10a 9a 2a 4a 1a 4a 9a (17) 5a Da 6a 1a Da 2a 7a 3a Da Da ,2,4,6,8,2,10,S. Ernault,9a 5a 10a 2a 3a 6a 3a 1a Da 3a 4a 5a Da 6a Da 3a Da 2a 1a 1a 2a Da 5a Da 4a 4DIa 11a 15a 3a 9a Da Da 3a 1a 6a 4a Da 3a 6a Da 4a 1a 7a 7a 7a 1a 1a 4a 1a 9a Da Da 3a 1a 9a Da 4a 1a 12a 9a 6a 8a 10a 3a 11a 5a Da Da 3a 1a 2a 1a 1a 1a 1a 2a 5a 2a 3a Da 4a 9a 1a Da 4a 1a Da Da Da Da 7a Da Da Da 4a Da Da 4a Da 10a ,3,0,0,B. Goetz,1a 4a 1m 2a 10a 6m 9m 8a Da Da 1a 6a 2m Dm 4DIa 6m 7m 3m 1m Dm 8m 13a 1a 5a Dm 2m 7a 7a 1a 2a Dm 3m 1m 7m 10a 6a 3a 6a 10a 2a 9a 5m 8a 2a 5a 5a 4m 3a 9a 6a Da Dm 1m Da 4a 4a Da 2m 5m 8m 2a 8a 4a 1a Dm 5m Da 6a 15a 3m Da 2a Da Dm 6m 12a Da 9a 11a 3a 7m 8a 8a Da 8a 2a Dm 5a Da 5a Da 1a Da Da 11a 2a Da 5a 3a 5a ,2,0,0,70,4,18,437,36,119,531,105,208,Bordeaux - Le Bouscat,20000,16,2550,2,0,R. Le Creps,B. Goetz,Ec.Haras des Quatre Vents,"1'14""8",Ec.Haras des Quatre Vents,2,,20,39,2,28,13.66,28.24,8.33,33.33,432,50,12,RIEUSSEC,SONATE VIERVIL,,,,"1'13""6",0,0,9548000,2565000,6983000,2435000,1042000,0,0,2750,-1,1,0,0,0,0,0,0,0,0,0,1,1251921,74146,84524,0,0,0,,EUR,13278019,2021-12-22T06:52:48.000Z,2021-12-22T06:52:41.000Z
4,5,1327802,2021-12-22,Cabourg,,2750,14,Attelé,1,19000,Gantoise du Boulay,F,5,11,0,101,,null,,,0,DD,DD,0,22940,9a 9a 13a 4a 10a 9a 4a 8,9a 9a 13a 4a 10a 9a 4a 8a 10a 7a 7a 11a 2a Da 7a 12a 7a 10a 9a (20) 5a 8a 2a Dm 8a 8a 9a 5a 3a 5a 7a Da Da 6a 4a 6a (19) 8a 7a 2a 5a 3a 6a 3a 5a 7a 6a 6a ,9,9,13,4,10,9,B. Rochard,10a 4m 10a 2a 8m Dm 7a 4a 8m 2a 1m 5a 2a 1a 2a 6m 2m 3a 6m 5m Dm 4m 6m 11a 6a Dm 3a 4m 2m Dm 7m 3a 4a Da Dm Da 9m 4a 8m 10a Dm 14a 8a 7a Dm 4m 8a Dm Dm Da 10a 3m 10a 4m 2m 8a 1a 3a 3m 7a 6m 8a Da 6m 4m 8a 7m 6m 11a 5m Da 3m Dm Da 2a 4a 1a 2m 3a 7m 2m 8a 7m 3a 3a 7a 3a Dm Da Da 5m 10a 10a Dm 6a Dm 7a 1a 12a 3a ,5,0,0,A. Mignon,Da 9m Da 12a 11a Da Da Da 9a Dm 9a Dm 10a 4a 7m 13a 10a 7a 9a 2a 7a Da 4a 5m 10a 9a 9a 13a Da 8a 10a 5a 4a 6a Da 5a 4a Da 7a 8a 8a 10a 5a 7a Da 2a 8a 8a 10a 7a 8a 2a Da Da Da 11a Da Da 7a 12a 2a Da Da 7a 2DIa 7a 12a 8a 10a 2a 10a 8a 7a Dm 10a 9a Da 6a (20) 11m 7a ,1,0,0,46,0,6,81,0,5,1051,102,306,Le Mont-Saint-Michel,16000,13,2600,9,43,P. Groussard,A. Mignon,A. Mignon,"1'17""3",A. Mignon,1,,10,29,0,0,5.98,23.5,0,0,234,5,3,FLASH DE COSSE,TAZIZA DU BOULAY,,,,"1'14""3",0,0,2294000,0,2294000,605000,830000,0,0,2750,-1,1,0,0,0,0,1,0,0,0,0,1,1360108,161031,106741,0,0,0,,EUR,13278021,2021-12-22T06:55:34.000Z,2021-12-22T06:55:19.000Z
